categorie,item,quantitée,pourcentage 1,pourcentage 2,pourcentage 3,pourcentage 4,pourcentage 5,rolls
,air,1,60,40,30,,50,1-3
component,board,1,2,4,,6,,
component,board1,1,,2,4,3,,
component,board2,1,,,,1,,
component,diode,1,3,4,,,,
component,diode1,1,,2,,3,,
component,diode2,1,,,,1,,
component,case,1,3,5,8,6,,
component,lens,1,,2,,3,,
component,socket,1,,4,5,6,,
component,socket1,1,,,,1,,
cables,supra,1,,,,5,,
cables,house,1,7,10,20,20,15,
cables,tin,1,7,10,20,20,,
cables,high,1,,5,5,10,,
cables,underground,1,,,6,,,
alloy,magnets,1,3,4,,,,
alloy,ferro,1,3,4,,,,
metal,copperwire,1,5,,,,15,
metal,coin,1,,,1,,,
energy,battery{energy:60000L},1,,,,,,
energy,battery{energy:35000L},1,1,1,,,,
energy,battery{energy:15000L},1,1,1,,,,
energy,battery{energy:0L},1,5,2,,,,
energy,cell{energy:600000L},1,,,,,,
energy,cell{energy:3500000L},1,,,,1,,
energy,cell{energy:1500000L},1,,,,2,,
energy,cell{energy:0L},1,,,,6,,
energy,cell1{energy:6000000L},1,,,,,,
energy,cell1{energy:3500000L},1,,,,1,,
energy,cell1{energy:15000000L},1,,,,1,,
energy,cell1{energy:0L},1,,,,3,,
adesive,screw,1,,,1,,,
glass,shards,1,,,,,20,
